# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: D:\Downloads\pinagem_com_nossos_botoes.csv
# Generated on: Fri Mar 27 12:31:06 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clock,Unknown,PIN_B16,7A,B7A_N0,,,,,,,,,,,,,,
reset,Unknown,PIN_T12,4A,B4A_N0,,,,,,,,,,,,,,
iniciar,Unknown,PIN_T13,4A,B4A_N0,,,,,,,,,,,,,,
rodada[0],Unknown,PIN_J18,7A,B7A_N0,,,,,,,,,,,,,,
rodada[1],Unknown,PIN_G11,7A,B7A_N0,,,,,,,,,,,,,,
rodada[2],Unknown,PIN_J11,7A,B7A_N0,,,,,,,,,,,,,,
rodada[3],Unknown,PIN_A15,7A,B7A_N0,,,,,,,,,,,,,,
perdeu,Unknown,PIN_L1,2A,B2A_N0,,,,,,,,,,,,,,
contagem[0],Unknown,PIN_R17,5A,B5A_N0,,,,,,,,,,,,,,
contagem[1],Unknown,PIN_T20,5A,B5A_N0,,,,,,,,,,,,,,
contagem[2],Unknown,PIN_T18,5A,B5A_N0,,,,,,,,,,,,,,
contagem[3],Unknown,PIN_T15,5A,B5A_N0,,,,,,,,,,,,,,
estado[0],Unknown,PIN_A12,7A,B7A_N0,,,,,,,,,,,,,,
estado[1],Unknown,PIN_B12,7A,B7A_N0,,,,,,,,,,,,,,
estado[2],Unknown,PIN_B13,7A,B7A_N0,,,,,,,,,,,,,,
estado[3],Unknown,PIN_D13,7A,B7A_N0,,,,,,,,,,,,,,
estado[4],Unknown,PIN_G17,7A,B7A_N0,,,,,,,,,,,,,,
terminou,Unknown,PIN_U1,2A,B2A_N0,,,,,,,,,,,,,,
ultima_jogada,Unknown,PIN_AA1,2A,B2A_N0,,,,,,,,,,,,,,
ultima_rodada,Unknown,PIN_AA2,2A,B2A_N0,,,,,,,,,,,,,,
vender,Unknown,PIN_F15,7A,B7A_N0,,,,,,,,,,,,,,
trabalhar,Unknown,PIN_K16,7A,B7A_N0,,,,,,,,,,,,,,
resgatar,Unknown,PIN_F12,7A,B7A_N0,,,,,,,,,,,,,,
investir,Unknown,PIN_G15,7A,B7A_N0,,,,,,,,,,,,,,
estudar,Unknown,PIN_G12,7A,B7A_N0,,,,,,,,,,,,,,
comprar,Unknown,PIN_E15,7A,B7A_N0,,,,,,,,,,,,,,
display_dinheiro[0],Unknown,PIN_U21,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[1],Unknown,PIN_V21,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[2],Unknown,PIN_W22,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[3],Unknown,PIN_W21,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[4],Unknown,PIN_Y22,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[5],Unknown,PIN_Y21,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[6],Unknown,PIN_AA22,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[7],Unknown,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[8],Unknown,PIN_AB20,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[9],Unknown,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[10],Unknown,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[11],Unknown,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[12],Unknown,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[13],Unknown,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[14],Unknown,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[15],Unknown,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[16],Unknown,PIN_AA10,3B,B3B_N0,,,,,,,,,,,,,,
display_dinheiro[17],Unknown,PIN_Y14,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[18],Unknown,PIN_V14,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[19],Unknown,PIN_AB22,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[20],Unknown,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[21],Unknown,PIN_Y16,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[22],Unknown,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[23],Unknown,PIN_Y17,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[24],Unknown,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[25],Unknown,PIN_U17,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[26],Unknown,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[27],Unknown,PIN_V19,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[28],Unknown,PIN_U20,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[29],Unknown,PIN_Y20,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[30],Unknown,PIN_V20,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[31],Unknown,PIN_U16,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[32],Unknown,PIN_U15,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[33],Unknown,PIN_Y15,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[34],Unknown,PIN_P9,3B,B3B_N0,,,,,,,,,,,,,,
display_dinheiro[35],Unknown,PIN_N9,3B,B3B_N0,,,,,,,,,,,,,,
display_dinheiro[36],Unknown,PIN_M8,3B,B3B_N0,,,,,,,,,,,,,,
display_dinheiro[37],Unknown,PIN_T14,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[38],Unknown,PIN_P14,4A,B4A_N0,,,,,,,,,,,,,,
display_dinheiro[39],Unknown,PIN_C1,2A,B2A_N0,,,,,,,,,,,,,,
display_dinheiro[40],Unknown,PIN_C2,2A,B2A_N0,,,,,,,,,,,,,,
display_dinheiro[41],Unknown,PIN_W19,4A,B4A_N0,,,,,,,,,,,,,,
config_display[0],Unknown,PIN_U7,3A,B3A_N0,,,,,,,,,,,,,,
config_display[2],Unknown,PIN_M7,3A,B3A_N0,,,,,,,,,,,,,,
config_display[1],Unknown,PIN_W9,3A,B3A_N0,,,,,,,,,,,,,,
config_display[3],Unknown,PIN_M6,3A,B3A_N0,,,,,,,,,,,,,,
config_display[4],Unknown,PIN_U13,4A,B4A_N0,,,,,,,,,,,,,,
config_display[5],Unknown,PIN_V13,4A,B4A_N0,,,,,,,,,,,,,,
